Asset,Signal,Month,Z-score FP count,Z-score FP rate (%),IQR FP count,IQR FP rate (%),Moving avg FP count,Moving avg FP rate (%)
P-0400,vibration_mm_s,7,132,0.2960039467192896,1944,4.359330851684083,0,0.0
P-0400,vibration_mm_s,8,112,0.2511604960419797,1912,4.287668468145225,0,0.0
P-0400,vibration_mm_s,9,120,0.27806098804337753,1931,4.474464732598016,0,0.0
P-0400,vibration_mm_s,10,125,0.2802439243117209,1974,4.425612052730696,0,0.0
P-0400,vibration_mm_s,11,118,0.2733822950211987,1943,4.5015406714083825,0,0.0
P-0400,vibration_mm_s,12,134,0.3004955934787971,2011,4.509676406610903,0,0.0
P-0400,motor_temp_c,1,0,0.0,733,1.6435714606036145,2,0.004484506031660613
P-0400,motor_temp_c,2,0,0.0,1986,4.929507545671168,0,0.0
P-0400,motor_temp_c,3,0,0.0,2917,6.542412416453596,14,0.03139999102857399
P-0400,motor_temp_c,4,0,0.0,1566,3.628359592215014,31516,73.02131603336423
P-0400,motor_temp_c,5,19237,43.139057699638954,943,2.114681676496311,44593,100.0
P-0400,motor_temp_c,6,41989,97.30938586326766,664,1.5388180764774044,43150,100.0
P-0400,motor_temp_c,7,44591,99.99327263757456,376,0.8431627573216127,44594,100.0
P-0400,motor_temp_c,8,33186,74.41975197901016,527,1.1817998340546723,44593,100.0
P-0400,motor_temp_c,9,1871,4.335434238576328,998,2.3125405505607564,41115,95.27064602836222
P-0400,motor_temp_c,10,0,0.0,1494,3.3494753833736883,7989,17.910949690610707
P-0400,motor_temp_c,11,0,0.0,2651,6.141834441535575,0,0.0
P-0400,motor_temp_c,12,0,0.0,3370,7.557239925548853,0,0.0
P-0400,diff_pressure_bar,1,3,0.006726759047490919,1611,3.6122696085026234,306,0.6861294228440737
P-0400,diff_pressure_bar,2,0,0.0,1890,4.691223193010326,0,0.0
P-0400,diff_pressure_bar,3,1,0.0022428565020409996,2485,5.573498407571884,106,0.23774278921634595
P-0400,diff_pressure_bar,4,375,0.8688600556070436,1253,2.9031510658016684,25194,58.373493975903614
P-0400,diff_pressure_bar,5,15321,34.357410355885456,608,1.3634426927993182,43854,98.34278922700872
P-0400,diff_pressure_bar,6,30358,70.35457705677868,392,0.9084588644264194,43150,100.0
P-0400,diff_pressure_bar,7,35824,80.33367717630175,230,0.515764452616944,44594,100.0
P-0400,diff_pressure_bar,8,27674,62.05906756665844,321,0.7198439216917454,44593,100.0
P-0400,diff_pressure_bar,9,8803,20.398090647882103,740,1.7147094262674947,39987,92.65687274075447
P-0400,diff_pressure_bar,10,80,0.1793561115595014,1432,3.210474396915075,17371,38.944937673751234
P-0400,diff_pressure_bar,11,0,0.0,2194,5.083057248106017,0,0.0
P-0400,diff_pressure_bar,12,0,0.0,2287,5.128607629000067,0,0.0
P-0600,vibration_mm_s,1,123,0.2757538392556888,1804,4.044389642416769,0,0.0
P-0600,vibration_mm_s,2,115,0.2855652951255246,1699,4.218916838419706,0,0.0
P-0600,vibration_mm_s,3,110,0.24666442426280974,1955,4.383899540307209,0,0.0
P-0600,vibration_mm_s,4,107,0.24791473586654308,1835,4.2516218721038,0,0.0
P-0600,vibration_mm_s,5,125,0.28030048211682923,1955,4.383899540307209,0,0.0
P-0600,vibration_mm_s,6,92,0.21316033364226136,1795,4.158943466172381,0,0.0
P-0600,vibration_mm_s,7,109,0.24441653959996412,1886,4.229078841151673,0,0.0
P-0600,vibration_mm_s,8,110,0.24668655109775514,1891,4.240766073871409,0,0.0
P-0600,vibration_mm_s,9,125,0.28968713789107764,1886,4.370799536500579,0,0.0
P-0600,vibration_mm_s,10,141,0.31616476444603897,2067,4.634840908581294,0,0.0
P-0600,vibration_mm_s,11,121,0.28036516984104914,1861,4.312062653505723,0,0.0
P-0600,vibration_mm_s,12,116,0.2600896860986547,1912,4.286995515695067,0,0.0
P-0600,motor_temp_c,1,0,0.0,511,1.1456114785337967,11,0.02466091245376079
P-0600,motor_temp_c,2,0,0.0,2178,5.4083583720295,0,0.0
P-0600,motor_temp_c,3,0,0.0,3232,7.247449265612737,0,0.0
P-0600,motor_temp_c,4,0,0.0,1461,3.3850787766450416,31423,72.80583873957367
P-0600,motor_temp_c,5,19921,44.670927233994846,988,2.215495010651418,44595,100.0
P-0600,motor_temp_c,6,42183,97.73632993512511,657,1.5222428174235403,43160,100.0
P-0600,motor_temp_c,7,44594,99.99551529285138,350,0.7848237510090591,44596,100.0
P-0600,motor_temp_c,8,33357,74.80657531788925,629,1.4105985512771635,44591,100.0
P-0600,motor_temp_c,9,1664,3.8563151796060255,1093,2.533024333719583,41214,95.513325608343
P-0600,motor_temp_c,10,0,0.0,1376,3.0854093324663094,7584,17.0056281812678
P-0600,motor_temp_c,11,0,0.0,2833,6.564252282311506,0,0.0
P-0600,motor_temp_c,12,0,0.0,3488,7.820627802690583,0,0.0
P-0600,diff_pressure_bar,1,1,0.0022419011321600717,1462,3.277659455218025,565,1.2666741396704406
P-0600,diff_pressure_bar,2,0,0.0,1904,4.727968016686946,0,0.0
P-0600,diff_pressure_bar,3,0,0.0,2426,5.440071756923422,100,0.22424038569346338
P-0600,diff_pressure_bar,4,344,0.7970342910101946,1249,2.8938832252085263,26025,60.298887859128826
P-0600,diff_pressure_bar,5,16691,37.427962776095974,608,1.3633815450162574,44015,98.69940576297792
P-0600,diff_pressure_bar,6,31756,73.57738646895274,412,0.9545875810936052,43160,100.0
P-0600,diff_pressure_bar,7,37016,83.00295990671809,256,0.5740425150237689,44596,100.0
P-0600,diff_pressure_bar,8,29159,65.39211948599493,344,0.7714561234329798,44591,100.0
P-0600,diff_pressure_bar,9,9504,22.025492468134416,744,1.7242178447276941,40310,93.41830822711472
P-0600,diff_pressure_bar,10,62,0.13902280422449942,1320,2.9598403480054714,18459,41.39067650290378
P-0600,diff_pressure_bar,11,0,0.0,2262,5.241206728764076,0,0.0
P-0600,diff_pressure_bar,12,0,0.0,2382,5.3408071748878925,0,0.0
P-0700,vibration_mm_s,1,107,0.23991569317697706,1782,3.9956052826296555,0,0.0
P-0700,vibration_mm_s,2,111,0.27552312160250203,1787,4.435674038771812,0,0.0
P-0700,vibration_mm_s,3,114,0.2557085819388991,1959,4.394150105423714,0,0.0
P-0700,vibration_mm_s,4,119,0.27577576417696,1813,4.201524877754861,0,0.0
P-0700,vibration_mm_s,5,113,0.2533348279340881,2032,4.555543100549266,0,0.0
P-0700,vibration_mm_s,6,128,0.29659838724626936,1939,4.493002131800909,0,0.0
P-0700,vibration_mm_s,7,118,0.26465706724083793,1821,4.08424169021666,0,0.0
P-0700,vibration_mm_s,8,100,0.2243208685704031,1827,4.0983422687812645,0,0.0
P-0700,vibration_mm_s,9,108,0.25023169601482853,1829,4.237720111214087,0,0.0
P-0700,vibration_mm_s,10,109,0.24438913925696734,1857,4.163583776148517,0,0.0
P-0700,vibration_mm_s,11,98,0.22703053329008943,1823,4.223231246814622,0,0.0
P-0700,vibration_mm_s,12,119,0.26678025377751874,1875,4.20347038514998,0,0.0
P-0700,motor_temp_c,1,0,0.0,228,0.5112222247135586,17,0.03811744657951972
P-0700,motor_temp_c,2,0,0.0,1843,4.574676694715417,0,0.0
P-0700,motor_temp_c,3,0,0.0,2847,6.38598537526356,27,0.06056255888026558
P-0700,motor_temp_c,4,0,0.0,1400,3.2444207550230586,31319,72.58000973326226
P-0700,motor_temp_c,5,19953,44.73265328998991,1014,2.2732877480103126,44605,100.0
P-0700,motor_temp_c,6,41679,96.5775326721661,748,1.7332468254703866,43156,100.0
P-0700,motor_temp_c,7,44567,99.95738572646123,347,0.7782712062082268,44586,100.0
P-0700,motor_temp_c,8,33494,75.13403171897082,413,0.9264451871957649,44579,100.0
P-0700,motor_temp_c,9,2545,5.896663577386469,1159,2.685356811862836,41198,95.45412418906395
P-0700,motor_temp_c,10,0,0.0,1393,3.123248357660142,8831,19.80000448420439
P-0700,motor_temp_c,11,0,0.0,2868,6.6441180558773105,0,0.0
P-0700,motor_temp_c,12,0,0.0,3275,7.342061606061964,0,0.0
P-0700,diff_pressure_bar,1,99,0.22197807125720306,1902,4.264669611426265,0,0.0
P-0700,diff_pressure_bar,2,53,0.13155608508948297,1742,4.323975475959987,0,0.0
P-0700,diff_pressure_bar,3,68,0.15252792606881702,1981,4.4434973756224485,0,0.0
P-0700,diff_pressure_bar,4,376,0.8713587170633357,1969,4.563046047600287,1210,2.8041065096985007
P-0700,diff_pressure_bar,5,1856,4.160968501289093,2025,4.539849792624145,15317,34.33919964129582
P-0700,diff_pressure_bar,6,3798,8.800630271572897,1846,4.277504866067291,24910,57.72082676800445
P-0700,diff_pressure_bar,7,5050,11.326425335307047,1735,3.891356031041134,29483,66.12613824967478
P-0700,diff_pressure_bar,8,3276,7.3487516543664055,1925,4.31817671998026,22497,50.46546580228359
P-0700,diff_pressure_bar,9,1208,2.798887859128823,1860,4.309545875810936,10276,23.80908248378128
P-0700,diff_pressure_bar,10,257,0.5762202641196386,1975,4.428151835160647,240,0.5381045268043317
P-0700,diff_pressure_bar,11,64,0.14826483806699717,1958,4.535977389612195,0,0.0
P-0700,diff_pressure_bar,12,35,0.07846478052279962,1897,4.252791104335739,0,0.0
P-0800,vibration_mm_s,1,114,0.2556225755095634,1869,4.1908648563804745,0,0.0
P-0800,vibration_mm_s,2,94,0.23333747052252699,1752,4.349013280377312,0,0.0
P-0800,vibration_mm_s,3,135,0.30269058295964124,1964,4.403587443946188,0,0.0
P-0800,vibration_mm_s,4,117,0.2710843373493976,1811,4.196014828544949,0,0.0
P-0800,vibration_mm_s,5,129,0.28922469844401594,2000,4.484103851845209,0,0.0
P-0800,vibration_mm_s,6,111,0.2571587433972755,1818,4.211843202668891,0,0.0
P-0800,vibration_mm_s,7,124,0.2781204440955478,1883,4.223393517999327,0,0.0
P-0800,vibration_mm_s,8,150,0.33642092986745015,1898,4.256846165922803,0,0.0
P-0800,vibration_mm_s,9,115,0.2664689389901986,1820,4.217160599670969,0,0.0
P-0800,vibration_mm_s,10,116,0.2601655190974948,1964,4.404871375064481,0,0.0
P-0800,vibration_mm_s,11,134,0.31047265987025024,1881,4.35820203892493,0,0.0
P-0800,vibration_mm_s,12,120,0.269094497017536,2000,4.4849082836256,0,0.0
P-0800,motor_temp_c,1,0,0.0,525,1.1772092293203578,34,0.07623831199408032
P-0800,motor_temp_c,2,0,0.0,2011,4.991932481072359,0,0.0
P-0800,motor_temp_c,3,0,0.0,2932,6.573991031390134,5,0.011210762331838564
P-0800,motor_temp_c,4,0,0.0,1482,3.433734939759036,31304,72.53012048192771
P-0800,motor_temp_c,5,19667,44.09443522711986,1076,2.4124478722927223,44602,100.0
P-0800,motor_temp_c,6,41939,97.16198684088593,650,1.505884533407469,43164,100.0
P-0800,motor_temp_c,7,44555,99.93271279578333,477,1.0698665470449702,44585,100.0
P-0800,motor_temp_c,8,33364,74.82898602731738,608,1.3636261690627314,44587,100.0
P-0800,motor_temp_c,9,2155,4.99339620455546,1082,2.507125147716477,41193,95.44917394628914
P-0800,motor_temp_c,10,0,0.0,1355,3.039002399802633,8124,18.2205575616211
P-0800,motor_temp_c,11,0,0.0,2778,6.436515291936979,0,0.0
P-0800,motor_temp_c,12,0,0.0,3646,8.175987801049468,0,0.0
P-0800,diff_pressure_bar,1,58,0.13005359104872524,1815,4.069780478507523,4,0.008969213175774156
P-0800,diff_pressure_bar,2,11,0.027305448678168052,1760,4.368871788506889,0,0.0
P-0800,diff_pressure_bar,3,19,0.042600896860986545,1964,4.403587443946188,0,0.0
P-0800,diff_pressure_bar,4,545,1.26274328081557,1957,4.534291010194624,10291,23.843836886005562
P-0800,diff_pressure_bar,5,4803,10.768575400206268,1594,3.5738307699206313,34081,76.41137168736827
P-0800,diff_pressure_bar,6,11915,27.604021870076917,1296,3.0025020850708923,40705,94.30312297284775
P-0800,diff_pressure_bar,7,15790,35.415498486037905,1175,2.635415498486038,43251,97.00796231916564
P-0800,diff_pressure_bar,8,10113,22.68149909166349,1484,3.3283243994886402,40745,91.38313858299504
P-0800,diff_pressure_bar,9,2971,6.884167110781565,1732,4.013253933313251,27775,64.35804156915448
P-0800,diff_pressure_bar,10,269,0.6033148675622939,1952,4.3779577006750845,5188,11.635678561015542
P-0800,diff_pressure_bar,11,19,0.04402224281742354,1949,4.515755329008341,0,0.0
P-0800,diff_pressure_bar,12,14,0.0313943579853792,2054,4.6060008072834915,0,0.0
